# NOAA Paleoclimatology Program - Paleocean Site Data
# odp1143-tab.txt
# Complete Data
# File Created: 17-Apr-2006
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Jun Tian
# Core/Site:      ODP1143
# Latitude:       9.21.43N	( 9.36194)
# Longitude:      113.17.07E	( 113.2853)
# Water Depth(m): 2772
#
# Publications:
#   Tian J., P.X. Wang, X.R. Chen, Q.Y. Li. 2002. Astronomically tuned Plio-Pleistocene
#     benthic d18O records from South China Sea and Atlantic-Pacific comparison. Earth
#     and Planetary Science Letters, 203, issues 3-4, pp.1015-1029
#------------------
#
# Description & Notes:
#   South China Sea Benthic Foraminiferal Stable Isotope Data.
#   Cibicidoides wuellerstorfi studied were larger than 150 microns.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cc.wuell   delta C13 PDB (Cibicidoides wuellerstorfi)
#             d18Oc.wuell   delta O18 PDB (Cibicidoides wuellerstorfi)
#
# CORE: ODP1143
depth	yrBP 	d13Cc.wuell	d18Oc.wuell	
0	0	0.096	2.341	
10	3600	0.243	2.668	
80	17438.9	0.123	4.23	
90	18766.7	-0.121	4.159	
130	24077.8	-0.217	4.049	
160	28061.1	-0.129	4.037	
170	29388.9	-0.113	4.038	
180	30716.7	-0.189	3.92	
200	33372.2	-0.123	4.016	
220	35400	0.064	3.362	
230	36100	-0.002	3.755	
240	37341.7	-0.073	3.716	
250	38583.3	0.108	3.814	
270	41066.7	-0.053	3.803	
280	42308.3	-0.262	3.87	
290	43550	0.126	3.762	
300	44791.7	0.169	3.789	
310	46033.3	0.239	3.837	
320	47275	0.033	3.912	
330	48516.7	-0.219	3.736	
340	49758.3	0.066	3.469	
350	51000	-0.047	3.461	
360	52216.7	-0.026	3.645	
370	53433.3	-0.102	3.517	
380	54650	0.18	3.638	
390	55866.7	-0.259	3.639	
400	57083.3	-0.064	3.526	
410	58300	-0.196	3.565	
420	59516.7	-0.311	3.596	
430	60733.3	-0.319	3.526	
440	61950	-0.37	3.419	
450	63166.7	-0.334	3.63	
460	64383.3	-0.274	3.613	
470	65600	-0.192	3.566	
480	66816.7	-0.386	3.278	
490	68033.3	-0.331	3.708	
520	71683.3	-0.421	3.69	
530	72900	-0.629	3.215	
540	73888.9	0.312	3.525	
550	74877.8	-0.008	3.257	
560	75866.7	0.181	3.423	
570	76855.6	-0.029	3.116	
580	77844.5	0.029	3.352	
590	78833.3	0	3.195	
600	79822.2	0.039	3.137	
620	81800	-0.075	3.116	
630	87366.7	-0.152	3.165	
640	92933.3	-0.148	3.371	
650	98500	-0.591	2.752	
660	100033.3	-0.112	3.168	
670	101566.7	-0.128	3.395	
680	103100	-0.013	3.064	
690	104633.3	-0.328	2.984	
700	106166.7	-0.01	3.176	
710	107700	-0.278	2.723	
720	109233.3	-0.134	3.253	
730	110766.7	-0.151	3.289	
740	112300	-0.046	3.332	
750	113833.3	-0.086	3.277	
760	115366.7	-0.239	2.926	
770	116900	-0.211	3.012	
810	124188.9	-0.335	2.414	
820	126023.5	-0.237	3.393	
840	129717.7	-0.33	3.521	
850	131564.7	-0.345	3.389	
880	137105.9	-0.049	4.07	
890	138952.9	-0.42	4.149	
900	140800	-0.558	3.877	
910	141833.3	-0.21	4.111	
920	142866.7	-0.418	3.898	
930	143900	-0.429	3.906	
940	144933.3	-0.089	3.933	
950	145966.7	-0.398	3.954	
960	147000	-0.139	3.871	
990	151912.5	-0.561	4.039	
1020	156825	0.215	3.98	
1030	158462.5	-0.551	4.049	
1040	160100	-0.553	3.796	
1050	161337.5	-0.102	4.006	
1060	162575	0.076	4.058	
1070	163812.5	-0.451	3.942	
1080	165050	-0.503	3.767	
1090	166287.5	-0.209	3.93	
1100	167525	-0.549	3.755	
1110	168762.5	-0.229	3.856	
1120	170000	-0.528	3.615	
1130	172865.7	-0.544	3.733	
1140	175731.3	-0.173	3.937	
1150	178597	-0.447	3.671	
1170	184328.4	-0.46	3.627	
1180	187194	-0.101	3.807	
1182	187767.2	0.223	3.295	
1192	194300	0.577	2.949	
1202	204500	-0.025	3.172	
1212	206333.3	-0.044	3.064	
1222	208166.7	-0.045	3.095	
1232	210000	-0.076	2.881	
1242	213350	0.14	2.681	
1282	218635.8	-0.194	3.458	
1292	219281.1	-0.389	3.695	
1302	219926.4	0.075	3.156	
1322	221217	-0.535	3.645	
1342	222507.5	-0.07	3.426	
1352	223152.8	-0.153	3.107	
1362	223798.1	-0.051	3.721	
1392	225734	-0.525	3.619	
1412	227024.5	-0.141	3.899	
1422	227669.8	-0.221	3.919	
1432	228315.1	-0.445	3.647	
1452	229605.7	-0.363	3.669	
1472	230896.2	0.034	2.994	
1482	231541.5	-0.473	3.547	
1492	232186.8	-0.573	3.734	
1502	232832.1	-0.333	3.556	
1512	233477.4	0.007	3.474	
1522	234607.7	-0.126	2.99	
1532	236223.1	-0.076	2.907	
1562	241069.2	-0.312	3.004	
1572	242684.6	-0.433	3.157	
1582	244300	-0.259	3.609	
1592	246300	-0.134	3.558	
1602	248300	-0.434	3.669	
1622	252300	-0.446	3.841	
1641	256100	-0.351	3.667	
1650	257900	-0.42	3.696	
1660	259450	-0.429	3.718	
1670	261000	-0.468	3.623	
1690	264100	-0.513	3.546	
1700	265650	-0.618	3.681	
1710	267200	-0.568	3.714	
1730	270300	-0.581	3.767	
1740	271564.3	-0.186	3.975	
1750	272828.6	-0.507	3.911	
1760	274092.9	-0.541	3.563	
1780	276621.4	-0.865	3.758	
1790	277885.7	-0.618	3.379	
1810	280414.3	-0.235	3.448	
1820	281678.6	-0.14	3.679	
1830	282942.8	-0.145	3.403	
1850	285471.4	0.372	3.191	
1860	286735.7	-0.196	3.048	
1870	288000	-0.377	2.948	
1880	289333.3	-0.386	3.295	
1890	290666.7	-0.462	3.303	
1900	292000	-0.602	2.953	
1910	293200	-0.521	3.404	
1920	294400	-0.484	3.227	
1930	295600	-0.434	3.409	
1940	296800	-0.435	3.432	
1950	298000	-0.406	3.28	
1960	299200	-0.481	3.206	
1970	300400	-0.438	3.183	
1980	301600	-0.193	3.437	
1990	302800	-0.281	3.343	
2000	304000	-0.235	3.07	
2010	308500	-0.362	2.948	
2020	313000	-0.369	3.072	
2050	321040	-0.207	2.774	
2060	323720	0.031	2.609	
2070	326400	-0.217	2.631	
2080	327900	-0.249	2.42	
2090	329400	-0.293	2.443	
2100	330900	-0.356	2.345	
2180	340342.6	-0.477	3.875	
